Gene	Disease	database_assertedBy	score_DisGeNet
entrez.4524	mondo.0005240	disgenet	0.4
entrez.4524	mondo.0004948	disgenet	0.32
entrez.4524	mondo.0003785	disgenet	0.35
entrez.4524	mondo.0005154	disgenet	0.31
entrez.4524	mondo.0005062	disgenet	0.39
entrez.4524	mondo.0018906	disgenet	0.34
entrez.4524	mondo.0009975	disgenet	0.3
entrez.4524	mondo.0018908	disgenet	0.4
entrez.4524	mondo.0005071	disgenet	0.31
entrez.4524	mondo.0017087	disgenet	0.3
entrez.4524	mondo.0001475	disgenet	0.32
entrez.4524	mondo.0005279	disgenet	0.37
entrez.4524	mondo.0002692	disgenet	0.33
entrez.4524	mondo.0002545	disgenet	0.31
entrez.4524	mondo.0021085	disgenet	0.4
entrez.4524	mondo.0002049	disgenet	0.31
entrez.4524	mondo.0010138	disgenet	0.31
entrez.4524	mondo.0005385	disgenet	0.4
entrez.4524	mondo.0007243	disgenet	0.3
entrez.4524	mondo.0019351	disgenet	0.4
entrez.4524	mondo.0015261	disgenet	0.3
entrez.4524	mondo.0018968	disgenet	0.3
entrez.4524	mondo.0018969	disgenet	0.3
entrez.4524	mondo.0022394	disgenet	0.4
entrez.4524	mondo.0021124	disgenet	0.3
entrez.4524	mondo.0008315	disgenet	0.36
entrez.4524	mondo.0002305	disgenet	0.4
entrez.4524	mondo.0002447	disgenet	0.32
entrez.4524	mondo.0004743	disgenet	0.4
entrez.4524	mondo.0004989	disgenet	0.4
entrez.4524	mondo.0019795	disgenet	0.5
entrez.4524	mondo.0042487	disgenet	0.3
entrez.4524	mondo.0021181	disgenet	0.3
entrez.4524	mondo.0005355	disgenet	0.3
entrez.4524	mondo.0005534	disgenet	0.3
entrez.4524	mondo.0005575	disgenet	0.4
entrez.4524	mondo.0005271	disgenet	0.3
entrez.4524	mondo.0007648	disgenet	0.3
entrez.4524	mondo.0011380	disgenet	0.3
entrez.4878	mondo.0014329	omim, disgenet	0.4
entrez.4878	mondo.0012816	omim, disgenet	0.4
entrez.4878	mondo.0004970	disgenet	0.31
entrez.4878	mondo.0005648	disgenet	0.31
entrez.4878	mondo.0002898	disgenet	0.3
entrez.4878	mondo.0005021	disgenet	0.33
entrez.4878	mondo.0005009	disgenet	0.6
entrez.4878	mondo.0005044	disgenet	0.6
entrez.4878	mondo.0001105	disgenet	0.5
entrez.4878	mondo.0005155	disgenet	0.3
entrez.4878	mondo.0005105	disgenet	0.3
entrez.4878	mondo.0005068	disgenet	0.55
entrez.4878	mondo.0002531	disgenet	0.3
entrez.4878	mondo.0024644	disgenet	0.3
entrez.4878	mondo.0006176	disgenet	0.3
entrez.4878	mondo.0003197	disgenet	0.3
entrez.4878	mondo.0005606	disgenet	0.3
entrez.4878	mondo.0006715	disgenet	0.3
entrez.4878	mondo.0003436	disgenet	0.3
entrez.4878	mondo.0008315	disgenet	0.3
entrez.4878	mondo.0007269	disgenet	0.31
entrez.4878	mondo.0012066	disgenet	0.3
entrez.5351	mondo.0016002	omim, disgenet	0.79
entrez.5351	mondo.0008779	disgenet	0.3
entrez.5351	mondo.0015225	disgenet	0.3
entrez.5351	mondo.0020066	disgenet	0.53
entrez.5351	mondo.0019019	disgenet	0.3
entrez.5351	mondo.0005396	disgenet	0.3
entrez.9927	mondo.0011002	omim	
entrez.9927	mondo.0014906	omim, disgenet	0.6
entrez.9927	mondo.0012231	omim, disgenet	0.7
entrez.9927	mondo.0008779	disgenet	0.3
entrez.9927	mondo.0015225	disgenet	0.3
entrez.9927	mondo.0015626	disgenet	0.5
entrez.9927	mondo.0007908	disgenet	0.31
entrez.9927	mondo.0019064	disgenet	0.31
entrez.9927	mondo.0019551	disgenet	0.75
entrez.9927	mondo.0004069	disgenet	0.31
entrez.55187	mondo.0011811	omim	
entrez.100048905	mondo.0012365	omim	
entrez.11330	mondo.0008185	omim	
entrez.11330	mondo.0004982	disgenet	0.34
entrez.11330	mondo.0005003	disgenet	0.5
