Gene	Disease	database_assertedBy	score_DisGeNet
entrez.11019	mondo.0013762	omim, disgenet	0.7
entrez.11019	mondo.0004069	disgenet	0.3
entrez.399	mondo.0032666	omim	
entrez.100918	mondo.0011607	omim	
entrez.7345	mondo.0014209	omim, disgenet	0.7
entrez.7345	mondo.0013340	omim, disgenet	0.6
entrez.7345	mondo.0005233	disgenet	0.32
entrez.7345	mondo.0021355	disgenet	0.3
entrez.7345	mondo.0021253	disgenet	0.3
entrez.7345	mondo.0005180	disgenet	0.4
entrez.7345	mondo.0005411	disgenet	0.3
entrez.7345	mondo.0007576	disgenet	0.3
entrez.8929	mondo.0013082	omim, disgenet	0.4
entrez.8929	mondo.0008852	omim, disgenet	1.0
entrez.8929	mondo.0009131	disgenet	0.3
entrez.8929	mondo.0005072	disgenet	0.7
entrez.8929	mondo.0005534	disgenet	0.3
entrez.10463	mondo.0044726	omim	
entrez.389207	mondo.0013210	omim, disgenet	0.6
entrez.60558	mondo.0014895	omim, disgenet	0.6
entrez.60558	mondo.0018097	disgenet	0.3
entrez.2555	mondo.0007079	omim	
entrez.2555	mondo.0032812	omim	
entrez.2560	mondo.0014942	omim, disgenet	0.6
entrez.2560	mondo.0004985	disgenet	0.32
entrez.2560	mondo.0001548	disgenet	0.3
entrez.2560	mondo.0001711	disgenet	0.5
entrez.2560	mondo.0100130	disgenet	0.3
entrez.10699	mondo.0013817	omim, disgenet	0.4
entrez.10699	mondo.0005081	disgenet	0.6
entrez.1259	mondo.0013405	omim, disgenet	0.6
entrez.1259	mondo.0019200	disgenet	0.64
entrez.7889	mondo.0011084	omim	
entrez.100188811	mondo.0012491	omim	
entrez.494148	mondo.0012376	omim	
entrez.100852399	mondo.0013694	omim	
entrez.553194	mondo.0012229	omim	
entrez.6893	mondo.0007130	omim	
entrez.6443	mondo.0011423	omim	
entrez.6443	mondo.0008779	disgenet	0.3
entrez.6443	mondo.0015225	disgenet	0.3
entrez.6443	mondo.0016971	disgenet	0.57
entrez.6443	mondo.0004994	disgenet	0.31
entrez.6443	mondo.0016142	disgenet	0.42
entrez.26511	mondo.0018874	omim	
entrez.170825	mondo.0020762	omim	
entrez.5156	mondo.0008285	omim	
entrez.5156	mondo.0011895	omim, disgenet	0.4
entrez.5156	mondo.0007243	disgenet	0.3
entrez.5156	mondo.0016064	disgenet	0.3
entrez.5156	mondo.0016011	disgenet	0.31
entrez.5156	mondo.0018177	disgenet	0.4
entrez.5156	mondo.0007959	disgenet	0.36
entrez.5156	mondo.0005105	disgenet	0.46
entrez.5156	mondo.0019351	disgenet	0.35
entrez.5156	mondo.0005012	disgenet	0.3
entrez.5156	mondo.0000577	disgenet	0.3
entrez.5156	mondo.0006300	disgenet	0.3
entrez.5156	mondo.0019159	disgenet	0.3
entrez.5156	mondo.0006853	disgenet	0.3
entrez.5156	mondo.0011719	disgenet	0.8
entrez.5156	mondo.0002797	disgenet	0.3
entrez.5156	mondo.0002794	disgenet	0.3
entrez.5156	mondo.0005191	disgenet	0.31
entrez.5156	mondo.0015687	disgenet	0.4
entrez.5156	mondo.0016711	disgenet	0.3
entrez.5156	mondo.0002796	disgenet	0.3
entrez.5156	mondo.0015691	disgenet	0.6
entrez.5156	mondo.0000408	disgenet	0.31
entrez.5156	mondo.0015689	disgenet	0.3
entrez.3815	mondo.0011719	omim, disgenet	1.0
entrez.3815	mondo.0007950	omim, disgenet	0.9
entrez.3815	mondo.0010108	omim, disgenet	0.52
entrez.3815	mondo.0018874	omim, disgenet	0.7
entrez.3815	mondo.0008244	omim, disgenet	1.0
entrez.3815	mondo.0004992	disgenet	0.41
entrez.3815	mondo.0002898	disgenet	0.3
entrez.3815	mondo.0005233	disgenet	0.46
entrez.3815	mondo.0020334	disgenet	0.6
entrez.3815	mondo.0018871	disgenet	0.3
entrez.3815	mondo.0012883	disgenet	0.38
entrez.3815	mondo.0005105	disgenet	0.5
entrez.3815	mondo.0002531	disgenet	0.32
entrez.3815	mondo.0019316	disgenet	0.36
entrez.3815	mondo.0005012	disgenet	0.44
entrez.3815	mondo.0000577	disgenet	0.3
entrez.3815	mondo.0006451	disgenet	0.4
entrez.3815	mondo.0016586	disgenet	0.7
entrez.3815	mondo.0019576	disgenet	0.4
entrez.3815	mondo.0020331	disgenet	0.38
entrez.3815	mondo.0019314	disgenet	0.31
entrez.3815	mondo.0006292	disgenet	0.3
entrez.3815	mondo.0004989	disgenet	0.36
entrez.3815	mondo.0018271	disgenet	0.31
entrez.3815	mondo.0020333	disgenet	0.34
entrez.3815	mondo.0020076	disgenet	0.48
entrez.3815	mondo.0020332	disgenet	0.31
entrez.3815	mondo.0005008	disgenet	0.3
entrez.3815	mondo.0019719	disgenet	0.3
entrez.3815	mondo.0005197	disgenet	0.31
entrez.3815	mondo.0000544	disgenet	0.35
entrez.3791	mondo.0011191	omim, disgenet	0.6
entrez.3791	mondo.0004970	disgenet	0.33
entrez.3791	mondo.0004992	disgenet	0.3
entrez.3791	mondo.0005233	disgenet	0.4
entrez.3791	mondo.0005115	disgenet	0.3
entrez.3791	mondo.0021355	disgenet	0.31
entrez.3791	mondo.0016982	disgenet	0.55
entrez.3791	mondo.0010650	disgenet	0.3
entrez.3791	mondo.0016648	disgenet	0.3
entrez.3791	mondo.0005516	disgenet	0.3
entrez.3791	mondo.0009717	disgenet	0.3
entrez.3791	mondo.0016761	disgenet	0.3
entrez.3791	mondo.0007008	disgenet	0.3
entrez.3791	mondo.0024644	disgenet	0.3
entrez.3791	mondo.0005061	disgenet	0.31
entrez.3791	mondo.0006176	disgenet	0.3
entrez.3791	mondo.0003197	disgenet	0.3
entrez.3791	mondo.0005606	disgenet	0.3
entrez.3791	mondo.0007576	disgenet	0.31
entrez.3791	mondo.0004989	disgenet	0.4
entrez.3791	mondo.0005575	disgenet	0.58
entrez.79644	mondo.0012991	omim, disgenet	0.41
entrez.79644	mondo.0012885	omim, disgenet	0.6
entrez.79644	mondo.0016079	disgenet	0.3
entrez.79644	mondo.0015286	disgenet	0.32
entrez.55858	mondo.0013870	omim, disgenet	0.7
entrez.55858	mondo.0019507	disgenet	0.3
entrez.55858	mondo.0015286	disgenet	0.36
entrez.9662	mondo.0013849	omim, disgenet	0.4
entrez.9662	mondo.0016056	disgenet	0.3
entrez.9662	mondo.0016660	disgenet	0.31
entrez.6731	mondo.0013851	omim, disgenet	0.7
entrez.6731	mondo.0001751	disgenet	0.3
entrez.6731	mondo.0000577	disgenet	0.3
entrez.6731	mondo.0000159	disgenet	0.31
entrez.6731	mondo.0014317	disgenet	0.3
entrez.6691	mondo.0054733	omim	
entrez.5978	mondo.0014779	omim	
entrez.5978	mondo.0033493	omim	
entrez.5978	mondo.0012902	omim	
entrez.5978	mondo.0016011	disgenet	0.3
entrez.5978	mondo.0019004	disgenet	0.61
entrez.5978	mondo.0001386	disgenet	0.3
entrez.5978	mondo.0016070	disgenet	0.41
entrez.3490	mondo.0013640	omim, disgenet	0.3
entrez.3490	mondo.0021085	disgenet	0.3
entrez.3490	mondo.0008315	disgenet	0.39
entrez.3490	mondo.0004989	disgenet	0.36
entrez.3490	mondo.0007648	disgenet	0.3
entrez.619405	mondo.0012263	omim	
entrez.253017	mondo.0013529	omim, disgenet	0.4
entrez.253017	mondo.0017990	disgenet	0.5
entrez.253017	mondo.0012762	disgenet	0.3
entrez.100188848	mondo.0012705	omim	
entrez.2798	mondo.0007794	omim	
entrez.2798	mondo.0002146	disgenet	0.36
entrez.4589	mondo.0010940	omim	
entrez.4589	mondo.0004979	disgenet	0.33
entrez.401138	mondo.0021547	omim	
entrez.401138	mondo.0019507	disgenet	0.3
entrez.401138	mondo.0005575	disgenet	0.3
entrez.258	mondo.0014560	omim, disgenet	0.4
entrez.258	mondo.0019507	disgenet	0.49
entrez.10117	mondo.0008770	omim, disgenet	0.6
entrez.10117	mondo.0007092	omim, disgenet	0.81
entrez.10117	mondo.0019507	disgenet	0.9
entrez.8671	mondo.0011422	omim, disgenet	0.7
entrez.8671	mondo.0001909	disgenet	0.74
entrez.8671	mondo.0005041	disgenet	0.41
entrez.8671	mondo.0005061	disgenet	0.3
entrez.9508	mondo.0032564	omim	
entrez.9508	mondo.0016256	disgenet	0.31
entrez.213	mondo.0014448	omim	
entrez.213	mondo.0014449	omim	
entrez.213	mondo.0002476	disgenet	0.3
entrez.213	mondo.0004983	disgenet	0.3
entrez.213	mondo.0005560	disgenet	0.31
entrez.213	mondo.0004995	disgenet	0.4
entrez.213	mondo.0005299	disgenet	0.3
entrez.213	mondo.0000960	disgenet	0.3
entrez.213	mondo.0005738	disgenet	0.3
entrez.213	mondo.0019810	disgenet	0.3
entrez.213	mondo.0002462	disgenet	0.33
entrez.213	mondo.0018904	disgenet	0.3
entrez.213	mondo.0005376	disgenet	0.36
entrez.213	mondo.0005267	disgenet	0.3
entrez.213	mondo.0005009	disgenet	0.31
entrez.213	mondo.0001549	disgenet	0.3
entrez.213	mondo.0005109	disgenet	0.3
entrez.213	mondo.0002459	disgenet	0.3
entrez.213	mondo.0005044	disgenet	0.4
entrez.213	mondo.0005240	disgenet	0.4
entrez.213	mondo.0005300	disgenet	0.4
entrez.213	mondo.0005155	disgenet	0.4
entrez.213	mondo.0006662	disgenet	0.3
entrez.213	mondo.0005336	disgenet	0.3
entrez.213	mondo.0001166	disgenet	0.3
entrez.213	mondo.0001085	disgenet	0.3
entrez.213	mondo.0002331	disgenet	0.31
entrez.213	mondo.0005377	disgenet	0.34
entrez.213	mondo.0004982	disgenet	0.3
entrez.213	mondo.0100130	disgenet	0.3
entrez.213	mondo.0024332	disgenet	0.3
entrez.213	mondo.0043789	disgenet	0.3
entrez.213	mondo.0018229	disgenet	0.3
entrez.213	mondo.0021085	disgenet	0.3
entrez.213	mondo.0002049	disgenet	0.3
entrez.213	mondo.0005492	disgenet	0.3
entrez.213	mondo.0020283	disgenet	0.3
entrez.213	mondo.0013860	disgenet	0.3
entrez.213	mondo.0005061	disgenet	0.3
entrez.213	mondo.0019542	disgenet	0.31
entrez.213	mondo.0014005	disgenet	0.3
entrez.213	mondo.0019736	disgenet	0.3
entrez.213	mondo.0005271	disgenet	0.3
entrez.213	mondo.0007648	disgenet	0.3
entrez.174	mondo.0014424	omim, disgenet	0.6
entrez.174	mondo.0014425	omim	
entrez.174	mondo.0005154	disgenet	0.4
entrez.174	mondo.0021085	disgenet	0.3
entrez.174	mondo.0004989	disgenet	0.32
entrez.174	mondo.0007648	disgenet	0.3
entrez.474387	mondo.0012022	omim	
entrez.619475	mondo.0012302	omim	
entrez.152816	mondo.0013906	omim, disgenet	0.4
entrez.152816	mondo.0015048	disgenet	0.3
entrez.950	mondo.0009699	omim	
entrez.950	mondo.0009698	disgenet	0.37
entrez.950	mondo.0009265	disgenet	0.3
entrez.80144	mondo.0009046	omim, disgenet	0.9
entrez.80144	mondo.0054737	omim	
entrez.80144	mondo.0011348	disgenet	0.3
entrez.80144	mondo.0019636	disgenet	0.31
entrez.80144	mondo.0019719	disgenet	0.3
entrez.118429	mondo.0009229	omim, disgenet	0.8
entrez.118429	mondo.0008779	disgenet	0.3
entrez.118429	mondo.0015225	disgenet	0.3
entrez.118429	mondo.0003397	disgenet	0.4
entrez.118429	mondo.0008315	disgenet	0.3
entrez.56978	mondo.0014717	omim, disgenet	0.6
entrez.56978	mondo.0020074	disgenet	0.4
entrez.56978	mondo.0007435	disgenet	0.3
entrez.2250	mondo.0008593	omim	
entrez.9987	mondo.0012193	omim	
entrez.9987	mondo.0016971	disgenet	0.42
entrez.22872	mondo.0032849	omim	
entrez.22872	mondo.0018905	disgenet	0.3
entrez.27235	mondo.0007803	omim, disgenet	0.3
entrez.27235	mondo.0011829	omim, disgenet	0.5
entrez.27235	mondo.0009131	disgenet	0.3
entrez.27235	mondo.0019046	disgenet	0.3
entrez.27235	mondo.0003122	disgenet	0.3
entrez.27235	mondo.0018608	disgenet	0.3
entrez.27235	mondo.0004069	disgenet	0.3
entrez.23001	mondo.0054593	omim, disgenet	0.3
entrez.105463125	mondo.0013294	omim	
entrez.594832	mondo.0012388	omim	
entrez.1834	mondo.0007437	omim	
entrez.1834	mondo.0011571	omim, disgenet	0.5
entrez.1834	mondo.0007441	omim	
entrez.1834	mondo.0007442	omim	
entrez.1834	mondo.0005096	disgenet	0.3
entrez.1834	mondo.0018849	disgenet	0.5
entrez.1834	mondo.0021245	disgenet	0.3
entrez.1834	mondo.0019019	disgenet	0.3
entrez.1834	mondo.0007436	disgenet	0.31
entrez.1758	mondo.0009430	omim, disgenet	0.84
entrez.5311	mondo.0013131	omim, disgenet	0.84
entrez.5311	mondo.0011057	disgenet	0.3
entrez.5311	mondo.0020066	disgenet	0.3
entrez.5311	mondo.0005283	disgenet	0.3
entrez.5311	mondo.0005385	disgenet	0.3
entrez.5311	mondo.0005396	disgenet	0.3
entrez.152926	mondo.0014057	omim	
entrez.152926	mondo.0009563	disgenet	0.52
entrez.152926	mondo.0017051	disgenet	0.3
entrez.152926	mondo.0017053	disgenet	0.3
entrez.152926	mondo.0017052	disgenet	0.5
entrez.84992	mondo.0014780	omim, disgenet	0.4
entrez.84992	mondo.0016596	disgenet	0.5
entrez.6622	mondo.0007488	omim, disgenet	0.7
entrez.6622	mondo.0008200	omim	
entrez.6622	mondo.0011562	omim, disgenet	0.5
entrez.6622	mondo.0018150	disgenet	0.32
entrez.6622	mondo.0010200	disgenet	0.3
entrez.6622	mondo.0005180	disgenet	0.9
entrez.6622	mondo.0009266	disgenet	0.3
entrez.6622	mondo.0009267	disgenet	0.3
entrez.6622	mondo.0017638	disgenet	0.3
entrez.6622	mondo.0009830	disgenet	0.31
entrez.6622	mondo.0010820	disgenet	0.3
entrez.6622	mondo.0009265	disgenet	0.31
entrez.2895	mondo.0014530	omim, disgenet	0.8
entrez.2895	mondo.0000437	disgenet	0.3
entrez.2895	mondo.0008119	disgenet	0.3
entrez.2895	mondo.0008458	disgenet	0.3
entrez.2895	mondo.0010847	disgenet	0.3
entrez.2895	mondo.0010848	disgenet	0.3
entrez.2895	mondo.0008457	disgenet	0.3
entrez.2895	mondo.0008120	disgenet	0.3
entrez.2895	mondo.0005575	disgenet	0.3
entrez.56916	mondo.0008416	omim	
entrez.56916	mondo.0007507	omim	
entrez.56916	mondo.0007619	omim	
entrez.56916	mondo.0008315	disgenet	0.3
entrez.56916	mondo.0019270	disgenet	0.3
entrez.658	mondo.0007216	omim, disgenet	0.76
entrez.658	mondo.0014798	omim, disgenet	0.6
entrez.658	mondo.0012274	omim	
entrez.658	mondo.0019019	disgenet	0.3
entrez.658	mondo.0008703	disgenet	0.31
entrez.658	mondo.0005036	disgenet	0.3
entrez.658	mondo.0005191	disgenet	0.3
entrez.658	mondo.0008315	disgenet	0.3
entrez.658	mondo.0007221	disgenet	0.41
entrez.658	mondo.0009231	disgenet	0.3
entrez.658	mondo.0007215	disgenet	0.31
entrez.658	mondo.0015924	disgenet	0.3
entrez.658	mondo.0017147	disgenet	0.32
entrez.1977	mondo.0014041	omim	
entrez.125	mondo.0007079	omim	
entrez.125	mondo.0002352	disgenet	0.31
entrez.125	mondo.0002679	disgenet	0.31
entrez.125	mondo.0021355	disgenet	0.4
entrez.125	mondo.0021071	disgenet	0.3
entrez.125	mondo.0021245	disgenet	0.3
entrez.125	mondo.0011122	disgenet	0.31
entrez.125	mondo.0005580	disgenet	0.4
entrez.125	mondo.0007576	disgenet	0.4
entrez.125	mondo.0005575	disgenet	0.35
entrez.126	mondo.0008199	omim, disgenet	0.3
entrez.126	mondo.0007079	omim	
entrez.126	mondo.0021245	disgenet	0.3
entrez.93587	mondo.0000208	omim, disgenet	0.6
entrez.93587	mondo.0002177	disgenet	0.3
entrez.93587	mondo.0016056	disgenet	0.32
entrez.93587	mondo.0019019	disgenet	0.3
entrez.4547	mondo.0008692	omim, disgenet	0.8
entrez.4547	mondo.0011565	omim, disgenet	0.37
entrez.4547	mondo.0015626	disgenet	0.3
entrez.4547	mondo.0000816	disgenet	0.3
entrez.100415904	mondo.0013230	omim	
entrez.192115	mondo.0008000	omim	
entrez.101926885	mondo.0014127	omim	
entrez.101926885	mondo.0017304	disgenet	0.3
entrez.5530	mondo.0020630	omim	
entrez.5530	mondo.0032642	omim	
entrez.5530	mondo.0010200	disgenet	0.3
entrez.5530	mondo.0004982	disgenet	0.3
entrez.5530	mondo.0002329	disgenet	0.3
entrez.5530	mondo.0005061	disgenet	0.3
entrez.5530	mondo.0008315	disgenet	0.31
entrez.64116	mondo.0014746	omim, disgenet	0.7
entrez.64116	mondo.0015286	disgenet	0.31
entrez.4790	mondo.0014697	omim	
entrez.4790	mondo.0004970	disgenet	0.37
entrez.4790	mondo.0021063	disgenet	0.4
entrez.4790	mondo.0005299	disgenet	0.31
entrez.4790	mondo.0005388	disgenet	0.41
entrez.4790	mondo.0005401	disgenet	0.36
entrez.4790	mondo.0015517	disgenet	0.53
entrez.4790	mondo.0002474	disgenet	0.3
entrez.4790	mondo.0005300	disgenet	0.33
entrez.4790	mondo.0005154	disgenet	0.31
entrez.4790	mondo.0006176	disgenet	0.3
entrez.4790	mondo.0003197	disgenet	0.3
entrez.4790	mondo.0005606	disgenet	0.3
entrez.4126	mondo.0009562	omim, disgenet	0.7
entrez.493856	mondo.0011502	omim, disgenet	0.64
entrez.493856	mondo.0018105	disgenet	0.58
entrez.1062	mondo.0014473	omim, disgenet	0.6
entrez.1062	mondo.0016056	disgenet	0.3
entrez.1062	mondo.0019342	disgenet	0.31
entrez.6870	mondo.0013913	omim, disgenet	0.8
entrez.6870	mondo.0002146	disgenet	0.31
entrez.6870	mondo.0018800	disgenet	0.5
entrez.54790	mondo.0018881	omim, disgenet	0.7
entrez.54790	mondo.0009692	disgenet	0.38
entrez.54790	mondo.0005272	disgenet	0.31
entrez.54790	mondo.0019454	disgenet	0.32
entrez.54790	mondo.0005086	disgenet	0.31
entrez.54790	mondo.0004977	disgenet	0.37
entrez.54790	mondo.0018874	disgenet	0.4
entrez.54790	mondo.0020311	disgenet	0.4
entrez.54790	mondo.0012883	disgenet	0.33
entrez.54790	mondo.0009891	disgenet	0.37
entrez.54790	mondo.0017844	disgenet	0.3
entrez.54790	mondo.0005029	disgenet	0.35
entrez.54790	mondo.0019476	disgenet	0.32
entrez.54790	mondo.0000577	disgenet	0.3
entrez.54790	mondo.0008315	disgenet	0.33
entrez.54790	mondo.0017885	disgenet	0.3
entrez.54790	mondo.0003012	disgenet	0.3
entrez.54790	mondo.0005220	disgenet	0.3
entrez.54790	mondo.0019456	disgenet	0.3
entrez.54790	mondo.0017884	disgenet	0.3
entrez.27068	mondo.0014974	omim, disgenet	0.6
entrez.27068	mondo.0014973	omim, disgenet	0.6
entrez.27068	mondo.0004069	disgenet	0.3
entrez.93627	mondo.0014823	omim, disgenet	0.7
entrez.93627	mondo.0010150	disgenet	0.3
entrez.93627	mondo.0005008	disgenet	0.3
entrez.9255	mondo.0009843	omim, disgenet	0.6
entrez.9255	mondo.0008779	disgenet	0.4
entrez.9255	mondo.0015225	disgenet	0.4
entrez.9255	mondo.0019046	disgenet	0.4
entrez.9255	mondo.0019064	disgenet	0.3
entrez.100188842	mondo.0012678	omim	
entrez.166929	mondo.0007470	omim	
entrez.113612	mondo.0014015	omim, disgenet	0.7
entrez.113612	mondo.0019046	disgenet	0.3
entrez.113612	mondo.0019064	disgenet	0.32
entrez.3033	mondo.0017715	omim, disgenet	0.7
entrez.3033	mondo.0012382	omim, disgenet	0.6
entrez.3033	mondo.0008779	disgenet	0.3
entrez.3033	mondo.0015225	disgenet	0.3
entrez.3033	mondo.0002177	disgenet	0.34
entrez.3033	mondo.0011122	disgenet	0.5
entrez.84570	mondo.0014538	omim, disgenet	0.6
entrez.84570	mondo.0007473	disgenet	0.3
entrez.84570	mondo.0008340	disgenet	0.3
entrez.3426	mondo.0013041	omim	
entrez.3426	mondo.0012594	omim, disgenet	0.62
entrez.3426	mondo.0014189	omim, disgenet	0.5
entrez.3426	mondo.0008585	disgenet	0.32
entrez.3426	mondo.0005150	disgenet	0.5
entrez.3426	mondo.0007471	disgenet	0.3
entrez.3426	mondo.0016244	disgenet	0.56
entrez.345193	mondo.0014026	omim, disgenet	0.6
entrez.345193	mondo.0016293	disgenet	0.61
entrez.345193	mondo.0010241	disgenet	0.3
entrez.345193	mondo.0009758	disgenet	0.3
entrez.345193	mondo.0012490	disgenet	0.3
entrez.1950	mondo.0012717	omim, disgenet	0.6
entrez.1950	mondo.0004970	disgenet	0.4
entrez.1950	mondo.0016064	disgenet	0.3
entrez.1950	mondo.0002406	disgenet	0.31
entrez.1950	mondo.0018177	disgenet	0.4
entrez.1950	mondo.0005240	disgenet	0.32
entrez.1950	mondo.0002771	disgenet	0.3
entrez.1950	mondo.0001126	disgenet	0.31
entrez.1950	mondo.0019203	disgenet	0.3
entrez.1950	mondo.0006176	disgenet	0.3
entrez.1950	mondo.0003197	disgenet	0.3
entrez.1950	mondo.0005606	disgenet	0.3
entrez.1950	mondo.0016216	disgenet	0.3
entrez.1950	mondo.0016682	disgenet	0.31
entrez.1950	mondo.0008315	disgenet	0.4
entrez.1950	mondo.0004989	disgenet	0.4
entrez.1950	mondo.0018101	disgenet	0.3
entrez.5308	mondo.0008386	omim, disgenet	0.81
entrez.5308	mondo.0008387	omim, disgenet	0.7
entrez.5308	mondo.0007662	omim, disgenet	0.63
entrez.5308	mondo.0019019	disgenet	0.3
entrez.5308	mondo.0019187	disgenet	0.5
entrez.5308	mondo.0020368	disgenet	0.33
entrez.5308	mondo.0012066	disgenet	0.3
entrez.51574	mondo.0014031	omim, disgenet	0.62
entrez.51574	mondo.0016056	disgenet	0.3
entrez.287	mondo.0010958	omim, disgenet	0.54
entrez.287	mondo.0002442	disgenet	0.45
entrez.287	mondo.0008646	disgenet	0.3
entrez.287	mondo.0015263	disgenet	0.3
entrez.287	mondo.0005575	disgenet	0.3
entrez.287	mondo.0017990	disgenet	0.31
entrez.8492	mondo.0009580	omim, disgenet	0.4
entrez.9871	mondo.0014573	omim, disgenet	0.4
entrez.9871	mondo.0019019	disgenet	0.32
entrez.9871	mondo.0016085	disgenet	0.5
entrez.51778	mondo.0013455	omim, disgenet	0.6
entrez.51778	mondo.0005045	disgenet	0.33
entrez.51778	mondo.0015626	disgenet	0.3
entrez.100188846	mondo.0012702	omim	
entrez.100271697	mondo.0012961	omim	
entrez.100852393	mondo.0013697	omim	
entrez.11107	mondo.0013605	omim, disgenet	0.61
entrez.11107	mondo.0020066	disgenet	0.3
entrez.308	mondo.0013729	omim	
entrez.308	mondo.0005096	disgenet	0.31
entrez.308	mondo.0010200	disgenet	0.5
entrez.308	mondo.0018874	disgenet	0.32
entrez.308	mondo.0021245	disgenet	0.3
entrez.308	mondo.0005081	disgenet	0.3
entrez.308	mondo.0021085	disgenet	0.3
entrez.308	mondo.0005061	disgenet	0.3
entrez.308	mondo.0007648	disgenet	0.3
entrez.5393	mondo.0054844	omim	
entrez.55212	mondo.0014435	omim, disgenet	0.6
entrez.55212	mondo.0011348	disgenet	0.4
entrez.55212	mondo.0015229	disgenet	0.47
entrez.7222	mondo.0014626	omim, disgenet	0.6
entrez.7222	mondo.0004985	disgenet	0.31
entrez.7222	mondo.0005044	disgenet	0.31
entrez.7222	mondo.0000437	disgenet	0.3
entrez.7222	mondo.0008119	disgenet	0.3
entrez.7222	mondo.0008458	disgenet	0.3
entrez.7222	mondo.0010847	disgenet	0.3
entrez.7222	mondo.0010848	disgenet	0.3
entrez.7222	mondo.0008457	disgenet	0.3
entrez.7222	mondo.0008120	disgenet	0.3
entrez.84162	mondo.0060631	omim	
entrez.84162	mondo.0008779	disgenet	0.3
entrez.84162	mondo.0015225	disgenet	0.3
entrez.59067	mondo.0014338	omim, disgenet	0.6
entrez.59067	mondo.0005130	disgenet	0.4
entrez.59067	mondo.0015517	disgenet	0.32
entrez.166379	mondo.0014440	omim, disgenet	0.6
entrez.166379	mondo.0011348	disgenet	0.4
entrez.166379	mondo.0015229	disgenet	0.45
entrez.6420	mondo.0020622	omim	
entrez.166378	mondo.0014698	omim, disgenet	0.7
entrez.79633	mondo.0014242	omim, disgenet	0.4
entrez.79633	mondo.0014454	omim, disgenet	0.4
entrez.79633	mondo.0004970	disgenet	0.3
entrez.79633	mondo.0002473	disgenet	0.3
entrez.79633	mondo.0005833	disgenet	0.3
entrez.79633	mondo.0005105	disgenet	0.32
entrez.79633	mondo.0021085	disgenet	0.31
entrez.79633	mondo.0006176	disgenet	0.3
entrez.79633	mondo.0003197	disgenet	0.3
entrez.79633	mondo.0005606	disgenet	0.3
entrez.79633	mondo.0005580	disgenet	0.3
entrez.79633	mondo.0016256	disgenet	0.5
entrez.79633	mondo.0007648	disgenet	0.3
entrez.79633	mondo.0011966	disgenet	0.3
entrez.27152	mondo.0044328	omim	
entrez.27152	mondo.0033375	omim	
entrez.10733	mondo.0014516	omim	
entrez.10733	mondo.0016056	disgenet	0.3
entrez.10733	mondo.0019342	disgenet	0.31
entrez.10733	mondo.0015204	disgenet	0.3
entrez.256471	mondo.0014515	omim, disgenet	0.61
entrez.256471	mondo.0012588	omim	
entrez.100505390	mondo.0012343	omim	
entrez.677663	mondo.0012384	omim	
entrez.359825	mondo.0011926	omim	
entrez.80155	mondo.0030916	omim	
entrez.83452	mondo.0014087	omim, disgenet	0.4
entrez.2549	mondo.0011553	omim	
entrez.2549	mondo.0008487	disgenet	0.32
entrez.2994	mondo.0021024	omim	
entrez.2994	mondo.0020620	omim	
entrez.2994	mondo.0005136	disgenet	0.32
entrez.2993	mondo.0020616	omim	
entrez.2993	mondo.0021024	omim	
entrez.2993	mondo.0002898	disgenet	0.3
entrez.2993	mondo.0005136	disgenet	0.34
entrez.2993	mondo.0002531	disgenet	0.31
entrez.166785	mondo.0009613	omim, disgenet	0.7
entrez.84068	mondo.0032703	omim	
entrez.84068	mondo.0001751	disgenet	0.3
entrez.83894	mondo.0032896	omim	
entrez.1909	mondo.0014608	omim, disgenet	0.91
entrez.1909	mondo.0008000	omim	
entrez.1909	mondo.0005009	disgenet	0.33
entrez.1909	mondo.0005044	disgenet	0.6
entrez.1909	mondo.0005375	disgenet	0.3
entrez.1909	mondo.0021315	disgenet	0.3
entrez.1909	mondo.0007147	disgenet	0.32
entrez.4306	mondo.0008329	omim, disgenet	0.77
entrez.4306	mondo.0011517	omim, disgenet	0.6
entrez.4306	mondo.0004985	disgenet	0.02
entrez.4306	mondo.0005021	disgenet	0.31
entrez.4306	mondo.0005009	disgenet	0.4
entrez.4306	mondo.0005068	disgenet	0.36
entrez.4306	mondo.0018638	disgenet	0.5
entrez.4306	mondo.0019161	disgenet	0.51
entrez.4306	mondo.0007269	disgenet	0.3
entrez.4306	mondo.0019162	disgenet	0.31
entrez.4306	mondo.0005575	disgenet	0.31
entrez.100188850	mondo.0012710	omim	
entrez.987	mondo.0013863	omim, disgenet	0.7
entrez.10586	mondo.0014380	omim, disgenet	0.7
entrez.10586	mondo.0008383	disgenet	0.3
entrez.10586	mondo.0016023	disgenet	0.42
entrez.23321	mondo.0014208	omim, disgenet	0.7
entrez.23321	mondo.0015626	disgenet	0.3
entrez.23321	mondo.0008143	disgenet	0.31
entrez.7097	mondo.0023113	omim	
entrez.7097	mondo.0011940	omim	
entrez.7097	mondo.0009518	omim	
entrez.7097	mondo.0008383	disgenet	0.4
entrez.7097	mondo.0004985	disgenet	0.33
entrez.7097	mondo.0001751	disgenet	0.3
entrez.7097	mondo.0003085	disgenet	0.53
entrez.7097	mondo.0005124	disgenet	0.38
entrez.7097	mondo.0004994	disgenet	0.3
entrez.7097	mondo.0005575	disgenet	0.36
entrez.2244	mondo.0014452	omim	
entrez.2244	mondo.0008737	omim	
entrez.2244	mondo.0005180	disgenet	0.3
